gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3925428920	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235259223/original.jpeg	https://www.inaturalist.org/photos/235259223					2022-07-23T23:02:28Z	Sean Daniels		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sean Daniels
3925419263	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235831041/original.jpeg	https://www.inaturalist.org/photos/235831041					2022-07-27T19:19:15Z	Brian Starzomski		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Brian Starzomski
3925372481	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/236200386/original.jpg	https://www.inaturalist.org/photos/236200386					2022-05-16T23:59:23Z	mfright		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	mfright
3925348731	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/236578613/original.jpeg	https://www.inaturalist.org/photos/236578613					2022-10-11T18:09:37Z	errantlight		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	errantlight
3925343627	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/236495015/original.jpeg	https://www.inaturalist.org/photos/236495015					2022-10-11T11:03:43Z	Sav Bell		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Sav Bell
3925318869	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235145964/original.jpeg	https://www.inaturalist.org/photos/235145964					2022-09-02T16:33:51Z	Catherine		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Catherine
3925318792	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235029670/original.jpg	https://www.inaturalist.org/photos/235029670					2022-10-05T00:37:16Z	tianaphil		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	tianaphil
3925273654	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/236566925/original.jpg	https://www.inaturalist.org/photos/236566925					2022-09-18T00:36:10Z	ellieautonstrolz		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ellieautonstrolz
3925273654	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/236566945/original.jpg	https://www.inaturalist.org/photos/236566945					2022-09-18T00:36:10Z	ellieautonstrolz		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ellieautonstrolz
3925273654	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/236566967/original.jpg	https://www.inaturalist.org/photos/236566967					2022-09-18T00:36:10Z	ellieautonstrolz		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ellieautonstrolz
